date,abrir conta,nubank,banco inter,banco c6,isPartial
2019-05-12,16,45,22,0,False
2019-05-19,14,47,21,0,False
2019-05-26,15,47,19,1,False
2019-06-02,15,46,22,0,False
2019-06-09,13,49,19,0,False
2019-06-16,16,46,23,0,False
2019-06-23,18,49,19,1,False
2019-06-30,20,51,27,0,False
2019-07-07,17,51,29,0,False
2019-07-14,16,50,25,1,False
2019-07-21,20,55,23,0,False
2019-07-28,18,54,25,0,False
2019-08-04,26,54,29,0,False
2019-08-11,20,55,30,1,False
2019-08-18,20,49,28,0,False
2019-08-25,19,58,22,0,False
2019-09-01,17,52,30,1,False
2019-09-08,22,49,22,0,False
2019-09-15,19,51,23,1,False
2019-09-22,18,52,22,0,False
2019-09-29,17,56,24,1,False
2019-10-06,15,53,25,1,False
2019-10-13,16,59,20,1,False
2019-10-20,15,55,20,1,False
2019-10-27,14,52,22,1,False
2019-11-03,15,57,25,1,False
2019-11-10,14,54,24,1,False
2019-11-17,15,54,20,1,False
2019-11-24,15,53,22,1,False
2019-12-01,15,56,22,1,False
2019-12-08,15,51,25,1,False
2019-12-15,14,54,22,1,False
2019-12-22,12,55,18,1,False
2019-12-29,15,50,19,1,False
2020-01-05,18,61,29,1,False
2020-01-12,18,59,24,1,False
2020-01-19,16,58,23,1,False
2020-01-26,17,56,22,1,False
2020-02-02,18,64,25,1,False
2020-02-09,17,64,23,1,False
2020-02-16,15,57,22,1,False
2020-02-23,14,50,19,1,False
2020-03-01,17,56,28,1,False
2020-03-08,15,54,27,1,False
2020-03-15,15,45,21,1,False
2020-03-22,17,45,20,1,False
2020-03-29,24,41,21,1,False
2020-04-05,40,53,23,1,False
2020-04-12,60,51,23,1,False
2020-04-19,49,51,22,1,False
2020-04-26,36,49,22,1,False
2020-05-03,26,55,23,1,False
2020-05-10,24,50,23,1,False
2020-05-17,26,58,22,1,False
2020-05-24,22,63,27,1,False
2020-05-31,20,57,27,1,False
2020-06-07,21,50,24,1,False
2020-06-14,21,54,25,1,False
2020-06-21,21,53,24,1,False
2020-06-28,28,74,36,1,False
2020-07-05,27,100,35,2,False
2020-07-12,24,66,28,1,False
2020-07-19,24,67,25,2,False
2020-07-26,23,61,24,1,False
2020-08-02,22,65,27,2,False
2020-08-09,23,62,27,1,False
2020-08-16,19,61,24,1,False
2020-08-23,21,55,27,1,False
2020-08-30,20,60,29,1,False
2020-09-06,19,70,24,1,False
2020-09-13,19,64,21,1,False
2020-09-20,19,60,23,2,False
2020-09-27,19,65,24,2,False
2020-10-04,20,67,25,1,False
2020-10-11,18,61,20,1,False
2020-10-18,20,63,21,2,False
2020-10-25,17,65,21,2,False
2020-11-01,18,60,23,2,False
2020-11-08,16,62,23,2,False
2020-11-15,15,56,19,2,False
2020-11-22,15,60,20,2,False
2020-11-29,17,68,21,2,False
2020-12-06,18,63,23,2,False
2020-12-13,17,59,22,3,False
2020-12-20,14,55,19,2,False
2020-12-27,14,53,19,2,False
2021-01-03,22,67,24,2,False
2021-01-10,19,62,24,3,False
2021-01-17,19,59,21,2,False
2021-01-24,21,59,22,2,False
2021-01-31,18,62,23,3,False
2021-02-07,20,59,23,2,False
2021-02-14,19,61,20,3,False
2021-02-21,19,56,21,2,False
2021-02-28,19,70,27,3,False
2021-03-07,20,61,23,3,True
